Date,Product Name & Brand,Past Week Sales,Weather Pattern,Event,Event_Impact_Level,Promotions (Discount),Competitor Action (Discount),Advertising,Economic Indicator,Store Location,Sales in Week (Target)
2023-01-01,Bhel Puri Mix,2943,Windy,Onam,2,10,15,Medium,3,Vijayawada,3083
2023-01-01,Pav Bhaji Masala,2135,Sunny,Minor Event,1,15,15,Medium,5,Karnal,2258
2023-01-01,Chole Masala,2743,Windy,Navratri,3,5,5,Medium,5,Tirupati,3006
2023-01-01,Tamarind Paste,1815,Windy,None,0,15,0,Medium,3,Jalandhar,2012
2023-01-01,Ready-to-eat Curry Packs,1469,Rainy,Raksha Bandhan,2,0,0,High,5,Indore,1587
2023-01-01,Parle-G Biscuits,1026,Cloudy,Christmas,3,20,10,Medium,5,Lucknow,1246
2023-01-01,Thums Up,2539,Windy,Baisakhi,2,0,20,Low,5,Amritsar,2473
2023-01-01,Frooti,2069,Windy,Guru Nanak Jayanti,3,15,15,Medium,3,Sangli,2310
2023-01-01,Hajmola Tablets,1180,Rainy,Republic Day,3,20,20,Low,4,Guntur,1424
2023-01-01,Haldiram's Namkeen,2184,Windy,None,0,15,20,Low,5,Bangalore,2200
2023-01-01,Chyawanprash,2311,Sunny,Pongal,2,5,10,Medium,4,Tirupati,2485
2023-01-08,Basmati Rice,2416,Rainy,Pongal,2,5,5,Low,3,Aurangabad,2483
2023-01-08,Turmeric Powder,1407,Rainy,Pongal,2,5,10,Medium,3,Rajahmundry,1419
2023-01-08,Red Chilli Powder,1399,Sunny,Independence Day,3,20,15,Low,4,Hyderabad,1715
2023-01-08,Cumin Seeds,2982,Rainy,Baisakhi,2,15,5,Medium,5,Kochi,3192
2023-01-08,Coriander Powder,2077,Sunny,Guru Nanak Jayanti,3,15,5,Medium,5,Vijayawada,2439
2023-01-08,Garam Masala,2219,Sunny,Minor Event,1,20,15,Low,5,Chandigarh,2299
2023-01-08,Toor Dal,1635,Windy,Durga Puja,3,10,15,Low,4,Ludhiana,1815
2023-01-08,Chana Dal,1740,Sunny,Holi,3,15,5,High,4,Vijayawada,2031
2023-01-08,Urad Dal,1801,Windy,None,0,5,5,Low,5,Jalandhar,1821
2023-01-08,Moong Dal,1703,Sunny,Minor Event,1,20,20,Low,3,Rajahmundry,1943
2023-01-08,Jaggery,2109,Cloudy,Raksha Bandhan,2,15,5,High,3,Chandigarh,2418
2023-01-08,Ghee,1473,Windy,Diwali,3,0,15,Low,4,Lucknow,1623
2023-01-08,Paneer,2860,Windy,None,0,20,5,Medium,4,Hyderabad,3034
2023-01-08,Coconut Oil,2015,Windy,Pongal,2,5,10,Medium,3,Aurangabad,2083
2023-01-08,Mustard Oil,2698,Windy,Onam,2,5,0,High,4,Ludhiana,2871
2023-01-08,Aam Papad,2440,Sunny,Holi,3,10,20,High,3,Amritsar,2657
2023-01-08,Mango Pickle,2921,Rainy,Eid-ul-Adha,3,20,20,High,4,Jaipur,3105
2023-01-08,Papad,2021,Cloudy,Minor Event,1,20,5,Medium,4,Sangli,2307
2023-01-08,Idli Rice,2516,Sunny,Regional Festival,2,15,5,Low,4,Vijayawada,2715
2023-01-08,Sambar Powder,2712,Sunny,Independence Day,3,5,20,Low,5,Bhopal,2810
2023-01-08,Aloo Bhujia,2548,Windy,Makar Sankranti,2,0,20,Low,5,Rajahmundry,2470
2023-01-08,Kaju Katli,1396,Sunny,Guru Nanak Jayanti,3,0,15,Low,4,Bangalore,1557
2023-01-08,Besan,1075,Sunny,Independence Day,3,15,20,Low,5,Vijayawada,1183
2023-01-08,Aata (Wheat Flour),1143,Windy,Navratri,3,15,10,Medium,5,Hyderabad,1409
2023-01-08,Mango Juice,2507,Rainy,Eid-ul-Adha,3,0,15,High,3,Chandigarh,2534
2023-01-08,Lemon Pickle,1934,Sunny,Regional Festival,2,20,20,Medium,4,Rajahmundry,2175
2023-01-08,Coconut Chutney,2097,Rainy,Eid-ul-Fitr,3,10,5,High,3,Chandigarh,2407
2023-01-08,Rasgulla,1794,Sunny,Christmas,3,20,5,Low,4,Kochi,2140
2023-01-08,Gulab Jamun Mix,1499,Sunny,Diwali,3,10,20,Low,4,Aurangabad,1693
2023-01-08,Lassi,2810,Sunny,Gudi Padwa,2,15,15,Medium,5,Hyderabad,3073
2023-01-08,Bhel Puri Mix,1038,Cloudy,Regional Festival,2,10,5,Medium,5,Kochi,1238
2023-01-08,Pav Bhaji Masala,2683,Sunny,Gudi Padwa,2,5,15,Medium,4,Bangalore,2857
2023-01-08,Chole Masala,2214,Rainy,None,0,10,20,Medium,3,Jalandhar,2226
2023-01-08,Tamarind Paste,2852,Cloudy,Christmas,3,5,15,Low,3,Amritsar,2923
2023-01-08,Ready-to-eat Curry Packs,2555,Cloudy,Eid-ul-Fitr,3,15,20,High,5,Rajahmundry,2839
2023-01-08,Parle-G Biscuits,2909,Rainy,Republic Day,3,0,0,Low,4,Tirupati,2961
2023-01-08,Thums Up,2031,Rainy,Eid-ul-Fitr,3,15,5,Medium,3,Rajahmundry,2327
2023-01-08,Frooti,1040,Cloudy,Minor Event,1,5,15,Medium,3,Bhopal,1156
2023-01-08,Hajmola Tablets,1908,Sunny,None,0,20,15,Low,3,Sangli,1978
2023-01-08,Haldiram's Namkeen,2944,Sunny,Christmas,3,5,10,Low,5,Bangalore,3187
2023-01-08,Chyawanprash,2015,Windy,Makar Sankranti,2,10,20,Low,5,Jaipur,2047
2023-01-15,Basmati Rice,1062,Cloudy,Baisakhi,2,0,10,Low,4,Amritsar,1097
2023-01-15,Turmeric Powder,1384,Sunny,None,0,5,0,High,5,Sangli,1482
2023-01-15,Red Chilli Powder,2668,Rainy,Christmas,3,15,0,Low,5,Rajahmundry,2969
2023-01-15,Cumin Seeds,1082,Sunny,Diwali,3,20,20,Medium,4,Bangalore,1376
2023-01-15,Coriander Powder,2795,Sunny,Navratri,3,0,10,Low,3,Lucknow,2984
2023-01-15,Garam Masala,1153,Sunny,Minor Event,1,5,15,High,5,Amritsar,1239
2023-01-15,Toor Dal,1989,Rainy,Makar Sankranti,2,15,0,Medium,3,Bangalore,2195
2023-01-15,Chana Dal,1074,Windy,Baisakhi,2,20,20,Medium,4,Sangli,1352
2023-01-15,Urad Dal,2358,Cloudy,Sunday,1,5,5,Medium,4,Hyderabad,2423
2023-01-15,Moong Dal,1983,Rainy,Sunday,1,15,0,Medium,3,Vijayawada,2161
2023-01-15,Jaggery,2353,Rainy,Guru Nanak Jayanti,3,20,20,Medium,3,Jaipur,2519
2023-01-15,Ghee,1125,Windy,Diwali,3,5,20,Medium,3,Vizag ,1167
2023-01-15,Paneer,2218,Rainy,Holi,3,0,10,Medium,3,Rajahmundry,2313
2023-01-15,Coconut Oil,2812,Rainy,Makar Sankranti,2,20,5,High,5,Bangalore,2991
2023-01-15,Mustard Oil,1644,Windy,Pongal,2,20,20,Medium,3,Tirupati,1755
2023-01-15,Aam Papad,1793,Cloudy,Guru Nanak Jayanti,3,5,20,High,3,Lucknow,1839
2023-01-15,Mango Pickle,1007,Windy,Eid-ul-Fitr,3,20,0,Medium,3,Meerut,1369
2023-01-15,Papad,2239,Sunny,Durga Puja,3,5,15,High,4,Bangalore,2393
2023-01-15,Idli Rice,2646,Cloudy,Navratri,3,10,10,High,5,Ludhiana,2896
2023-01-15,Sambar Powder,1805,Rainy,Baisakhi,2,15,20,Medium,4,Lucknow,1969
2023-01-15,Aloo Bhujia,2296,Windy,Diwali,3,15,5,High,3,Meerut,2556
2023-01-15,Kaju Katli,1066,Sunny,Guru Nanak Jayanti,3,20,15,Low,4,Kochi,1349
2023-01-15,Besan,1424,Rainy,Independence Day,3,5,0,High,4,Tirupati,1624
2023-01-15,Aata (Wheat Flour),2764,Windy,Sunday,1,10,10,Low,4,Guntur,2884
2023-01-15,Mango Juice,1349,Sunny,Christmas,3,15,10,Medium,4,Amritsar,1593
2023-01-15,Lemon Pickle,2345,Rainy,Raksha Bandhan,2,10,20,High,4,Jalandhar,2419
2023-01-15,Coconut Chutney,1193,Rainy,Christmas,3,0,10,Medium,3,Bhopal,1271
2023-01-15,Rasgulla,2433,Windy,Holi,3,20,15,Low,4,Karnal,2725
2023-01-15,Gulab Jamun Mix,1000,Rainy,Durga Puja,3,0,15,Low,5,Bhopal,1064
2023-01-15,Lassi,1258,Windy,Christmas,3,20,10,High,3,Lucknow,1618
2023-01-15,Bhel Puri Mix,2191,Cloudy,Pongal,2,20,5,Medium,3,Guntur,2495
2023-01-15,Pav Bhaji Masala,1910,Sunny,Diwali,3,0,0,Low,5,Vizag ,2111
2023-01-15,Chole Masala,1333,Rainy,Raksha Bandhan,2,0,20,Medium,4,Guntur,1349
2023-01-15,Tamarind Paste,2319,Sunny,Sunday,1,15,10,High,3,Karnal,2432
2023-01-15,Ready-to-eat Curry Packs,1724,Rainy,Republic Day,3,20,15,Medium,5,Indore,2063
2023-01-15,Parle-G Biscuits,2065,Rainy,Navratri,3,5,15,Low,3,Chandigarh,2178
2023-01-15,Thums Up,2046,Windy,Minor Event,1,10,20,Medium,3,Tirupati,2058
2023-01-15,Frooti,2639,Sunny,Guru Nanak Jayanti,3,0,5,Medium,3,Meerut,2767
2023-01-15,Hajmola Tablets,2646,Rainy,Holi,3,10,10,Medium,5,Vijayawada,2902
2023-01-15,Haldiram's Namkeen,2464,Windy,Regional Festival,2,10,15,Low,4,Amritsar,2585
2023-01-15,Chyawanprash,2658,Rainy,None,0,15,5,Medium,3,Chandigarh,2756
2023-01-22,Basmati Rice,2180,Cloudy,Christmas,3,20,15,Low,5,Amritsar,2490
2023-01-22,Turmeric Powder,2434,Sunny,Baisakhi,2,15,15,Low,4,Chandigarh,2603
2023-01-22,Red Chilli Powder,1068,Rainy,Independence Day,3,15,5,High,5,Vijayawada,1390
2023-01-22,Cumin Seeds,2639,Cloudy,Pongal,2,5,10,Medium,3,Karnal,2828
2023-01-22,Coriander Powder,2863,Sunny,None,0,15,10,Low,3,Tirupati,2989
2023-01-22,Garam Masala,2749,Sunny,Republic Day,3,10,20,Medium,3,Jaipur,2809
2023-01-22,Toor Dal,1982,Cloudy,Diwali,3,20,5,Medium,4,Amritsar,2263
2023-01-22,Chana Dal,1201,Rainy,Holi,3,20,0,Low,3,Amritsar,1630
2023-01-22,Urad Dal,1385,Rainy,Durga Puja,3,0,5,High,4,Jalandhar,1544
2023-01-22,Moong Dal,1875,Rainy,Sunday,1,10,0,High,5,Tirupati,2103
2023-01-22,Jaggery,1062,Windy,Christmas,3,20,0,Low,3,Hyderabad,1461
2023-01-22,Ghee,1147,Sunny,Guru Nanak Jayanti,3,0,15,Low,3,Tirupati,1239
2023-01-22,Paneer,1434,Sunny,Regional Festival,2,0,20,Medium,5,Indore,1456
2023-01-22,Coconut Oil,1017,Cloudy,Guru Nanak Jayanti,3,20,20,Medium,5,Vijayawada,1167
2023-01-22,Mustard Oil,1113,Rainy,Baisakhi,2,5,5,Medium,3,Lucknow,1303
2023-01-22,Aam Papad,2666,Rainy,Independence Day,3,0,20,High,5,Vijayawada,2647
2023-01-22,Mango Pickle,1054,Cloudy,Holi,3,5,15,Low,5,Jaipur,1110
2023-01-22,Papad,1442,Rainy,Minor Event,1,0,0,High,5,Tirupati,1463
2023-01-22,Idli Rice,2826,Sunny,Raksha Bandhan,2,10,0,High,4,Meerut,3021
2023-01-22,Sambar Powder,1468,Windy,Navratri,3,10,15,Low,4,Lucknow,1684
2023-01-22,Aloo Bhujia,1146,Cloudy,Regional Festival,2,5,0,High,3,Rajahmundry,1307
2023-01-22,Kaju Katli,2939,Windy,Makar Sankranti,2,5,0,High,3,Vijayawada,2999
2023-01-22,Besan,1933,Rainy,Sunday,1,10,15,Low,3,Jaipur,2044
2023-01-22,Aata (Wheat Flour),2387,Sunny,Eid-ul-Adha,3,10,15,Medium,4,Aurangabad,2485
2023-01-22,Mango Juice,1525,Cloudy,Navratri,3,0,5,High,3,Sangli,1558
2023-01-22,Lemon Pickle,2258,Cloudy,Gudi Padwa,2,0,0,Medium,4,Indore,2261
2023-01-22,Coconut Chutney,2379,Cloudy,Diwali,3,10,5,Low,4,Ludhiana,2544
2023-01-22,Rasgulla,1587,Cloudy,Guru Nanak Jayanti,3,20,0,Medium,4,Guntur,1923
2023-01-22,Gulab Jamun Mix,1820,Cloudy,Christmas,3,10,5,Low,3,Jaipur,2143
2023-01-22,Lassi,2581,Sunny,Guru Nanak Jayanti,3,5,20,Medium,4,Jaipur,2644
2023-01-22,Bhel Puri Mix,1793,Windy,Eid-ul-Fitr,3,0,10,Low,5,Aurangabad,1821
2023-01-22,Pav Bhaji Masala,1743,Windy,Eid-ul-Fitr,3,15,0,High,5,Karnal,1996
2023-01-22,Chole Masala,2171,Rainy,Baisakhi,2,20,0,Medium,5,Aurangabad,2451
2023-01-22,Tamarind Paste,1072,Rainy,Sunday,1,0,5,Medium,3,Ludhiana,1036
2023-01-22,Ready-to-eat Curry Packs,1130,Sunny,Eid-ul-Fitr,3,5,0,High,5,Sangli,1337
2023-01-22,Parle-G Biscuits,2067,Rainy,Christmas,3,5,15,High,3,Kochi,2278
2023-01-22,Thums Up,2838,Sunny,Guru Nanak Jayanti,3,5,0,High,3,Sangli,2949
2023-01-22,Frooti,1373,Windy,Holi,3,20,0,High,3,Rajahmundry,1820
2023-01-22,Hajmola Tablets,2945,Sunny,Makar Sankranti,2,0,15,High,5,Indore,2978
2023-01-22,Haldiram's Namkeen,1249,Windy,Pongal,2,0,5,Low,4,Meerut,1358
2023-01-22,Chyawanprash,1726,Rainy,Regional Festival,2,0,10,Medium,5,Lucknow,1757
2023-01-29,Basmati Rice,2296,Rainy,Raksha Bandhan,2,5,10,Medium,5,Vizag ,2309
2023-01-29,Turmeric Powder,1935,Windy,Gudi Padwa,2,5,10,Low,5,Bangalore,2117
2023-01-29,Red Chilli Powder,1920,Rainy,Baisakhi,2,0,15,Low,4,Kochi,1985
2023-01-29,Cumin Seeds,1310,Sunny,Onam,2,20,5,Medium,4,Tirupati,1654
2023-01-29,Coriander Powder,2062,Cloudy,Gudi Padwa,2,20,5,High,5,Aurangabad,2282
2023-01-29,Garam Masala,1376,Sunny,Guru Nanak Jayanti,3,20,20,Low,5,Vizag ,1535
2023-01-29,Toor Dal,2165,Windy,Diwali,3,0,0,High,3,Hyderabad,2334
2023-01-29,Chana Dal,2998,Windy,Makar Sankranti,2,20,0,Low,3,Tirupati,3270
2023-01-29,Urad Dal,1060,Sunny,Independence Day,3,15,10,Medium,3,Meerut,1380
2023-01-29,Moong Dal,2734,Rainy,Navratri,3,10,20,Medium,3,Guntur,2835
2023-01-29,Jaggery,1884,Rainy,Minor Event,1,15,20,High,4,Bhopal,1993
2023-01-29,Ghee,1505,Rainy,Sunday,1,0,5,Low,3,Jaipur,1432
2023-01-29,Paneer,2776,Sunny,Diwali,3,0,0,High,4,Guntur,2886
2023-01-29,Coconut Oil,1780,Rainy,Makar Sankranti,2,5,0,High,5,Jaipur,1949
2023-01-29,Mustard Oil,2640,Sunny,Republic Day,3,15,20,Medium,5,Meerut,2923
2023-01-29,Aam Papad,1520,Rainy,Republic Day,3,10,0,Medium,4,Bangalore,1709
2023-01-29,Mango Pickle,1913,Rainy,Sunday,1,15,10,Low,4,Chandigarh,2160
2023-01-29,Papad,1592,Windy,Onam,2,20,15,Low,3,Chandigarh,1830
2023-01-29,Idli Rice,2996,Sunny,Holi,3,5,10,Medium,5,Indore,3078
2023-01-29,Sambar Powder,1815,Windy,Holi,3,15,0,High,5,Guntur,2183
2023-01-29,Aloo Bhujia,2690,Rainy,Gudi Padwa,2,0,20,Medium,5,Ludhiana,2755
2023-01-29,Kaju Katli,2054,Sunny,Eid-ul-Fitr,3,20,5,Low,5,Hyderabad,2301
2023-01-29,Besan,1588,Cloudy,Eid-ul-Fitr,3,20,5,Medium,4,Jaipur,1824
2023-01-29,Aata (Wheat Flour),1359,Cloudy,Gudi Padwa,2,10,0,Low,3,Hyderabad,1556
2023-01-29,Mango Juice,2854,Rainy,Onam,2,10,5,Low,4,Ludhiana,3084
2023-01-29,Lemon Pickle,1191,Cloudy,Diwali,3,20,15,Medium,5,Meerut,1382
2023-01-29,Coconut Chutney,2143,Cloudy,Guru Nanak Jayanti,3,5,0,Medium,4,Kochi,2292
2023-01-29,Rasgulla,1947,Windy,Baisakhi,2,20,15,High,5,Lucknow,2196
2023-01-29,Gulab Jamun Mix,2561,Rainy,Eid-ul-Fitr,3,0,10,High,4,Kochi,2734
2023-01-29,Lassi,1038,Sunny,Independence Day,3,0,10,Low,3,Aurangabad,1052
2023-01-29,Bhel Puri Mix,1848,Windy,Sunday,1,15,10,High,5,Karnal,2023
2023-01-29,Pav Bhaji Masala,2976,Windy,Baisakhi,2,20,10,Medium,5,Kochi,3322
2023-01-29,Chole Masala,2185,Rainy,None,0,5,15,Medium,5,Bangalore,2248
2023-01-29,Tamarind Paste,1491,Windy,Guru Nanak Jayanti,3,0,15,Medium,5,Bangalore,1492
2023-01-29,Ready-to-eat Curry Packs,1519,Windy,Navratri,3,0,0,Low,3,Indore,1647
2023-01-29,Parle-G Biscuits,1898,Cloudy,Durga Puja,3,10,20,Low,4,Lucknow,2095
2023-01-29,Thums Up,2967,Rainy,Navratri,3,0,15,Low,4,Lucknow,3129
2023-01-29,Frooti,1273,Windy,Minor Event,1,10,20,Low,3,Aurangabad,1286
2023-01-29,Hajmola Tablets,1101,Cloudy,Baisakhi,2,10,20,Low,3,Tirupati,1269
2023-01-29,Haldiram's Namkeen,2695,Rainy,Holi,3,0,0,Low,4,Indore,2824
2023-01-29,Chyawanprash,1224,Sunny,Pongal,2,5,15,Low,4,Vizag ,1231
2023-02-05,Basmati Rice,2126,Sunny,None,0,20,15,Medium,4,Jalandhar,2344
2023-02-05,Turmeric Powder,1105,Rainy,Navratri,3,5,5,High,4,Guntur,1298
2023-02-05,Red Chilli Powder,2925,Sunny,Minor Event,1,10,20,High,5,Kochi,2883
2023-02-05,Cumin Seeds,2107,Sunny,Regional Festival,2,0,5,Medium,4,Guntur,2143
2023-02-05,Coriander Powder,1021,Rainy,Regional Festival,2,10,15,Medium,4,Meerut,1199
2023-02-05,Garam Masala,1977,Rainy,Republic Day,3,15,5,Medium,5,Bangalore,2163
2023-02-05,Toor Dal,1749,Sunny,Gudi Padwa,2,10,5,High,5,Kochi,1923
2023-02-05,Chana Dal,2746,Windy,Holi,3,15,5,Medium,4,Ludhiana,3070
2023-02-05,Urad Dal,1034,Windy,Republic Day,3,10,10,Medium,5,Chandigarh,1322
2023-02-05,Moong Dal,1158,Sunny,Regional Festival,2,15,0,Medium,3,Meerut,1493
2023-02-05,Jaggery,2712,Sunny,Independence Day,3,15,15,Medium,4,Vizag ,3015
2023-02-05,Ghee,1931,Windy,Sunday,1,15,5,High,4,Jalandhar,2011
2023-02-05,Paneer,2291,Cloudy,Holi,3,10,5,Medium,3,Hyderabad,2546
2023-02-05,Coconut Oil,2543,Cloudy,Minor Event,1,20,0,High,4,Ludhiana,2792
2023-02-05,Mustard Oil,1836,Cloudy,Pongal,2,15,5,High,3,Rajahmundry,2126
2023-02-05,Aam Papad,1837,Sunny,Baisakhi,2,0,15,Medium,5,Ludhiana,1906
2023-02-05,Mango Pickle,2326,Rainy,Diwali,3,20,0,Low,5,Aurangabad,2606
2023-02-05,Papad,2384,Cloudy,Raksha Bandhan,2,5,20,Medium,4,Karnal,2334
2023-02-05,Idli Rice,1575,Windy,Minor Event,1,10,15,Low,3,Chandigarh,1667
2023-02-05,Sambar Powder,2520,Windy,Eid-ul-Fitr,3,20,20,Low,3,Vizag ,2789
2023-02-05,Aloo Bhujia,1333,Windy,Baisakhi,2,15,10,Low,4,Kochi,1562
2023-02-05,Kaju Katli,1118,Rainy,Diwali,3,15,5,Low,3,Jalandhar,1327
2023-02-05,Besan,2035,Sunny,Diwali,3,0,0,High,4,Guntur,2104
2023-02-05,Aata (Wheat Flour),2208,Windy,Eid-ul-Fitr,3,5,0,Medium,3,Tirupati,2346
2023-02-05,Mango Juice,2836,Rainy,Makar Sankranti,2,15,15,High,4,Meerut,2962
2023-02-05,Lemon Pickle,2014,Cloudy,Pongal,2,15,5,Low,3,Rajahmundry,2146
2023-02-05,Coconut Chutney,2241,Sunny,Baisakhi,2,5,0,High,5,Guntur,2461
2023-02-05,Rasgulla,1743,Cloudy,Makar Sankranti,2,5,0,Medium,5,Jaipur,1905
2023-02-05,Gulab Jamun Mix,2170,Rainy,Minor Event,1,0,15,Low,3,Kochi,2075
2023-02-05,Lassi,2243,Cloudy,Onam,2,20,0,Medium,4,Rajahmundry,2636
2023-02-05,Bhel Puri Mix,1687,Windy,Christmas,3,0,0,Low,3,Tirupati,1749
2023-02-05,Pav Bhaji Masala,2125,Sunny,Gudi Padwa,2,0,10,Medium,3,Jalandhar,2206
2023-02-05,Chole Masala,2302,Rainy,Christmas,3,5,5,Low,3,Guntur,2459
2023-02-05,Tamarind Paste,2099,Rainy,None,0,0,20,High,3,Ludhiana,2097
2023-02-05,Ready-to-eat Curry Packs,1304,Sunny,Holi,3,15,20,Low,3,Meerut,1438
2023-02-05,Parle-G Biscuits,2800,Cloudy,Eid-ul-Fitr,3,10,5,Medium,4,Kochi,2927
2023-02-05,Thums Up,1664,Windy,Sunday,1,15,20,Low,4,Indore,1675
2023-02-05,Frooti,1943,Cloudy,Onam,2,20,15,High,5,Chandigarh,2154
2023-02-05,Hajmola Tablets,1020,Cloudy,Makar Sankranti,2,15,10,High,3,Guntur,1270
2023-02-05,Haldiram's Namkeen,2827,Rainy,Onam,2,20,15,High,3,Karnal,3002
2023-02-05,Chyawanprash,1963,Windy,Gudi Padwa,2,10,5,Medium,3,Meerut,2154
2023-02-12,Basmati Rice,2681,Cloudy,Baisakhi,2,15,10,Medium,4,Vizag ,2782
2023-02-12,Turmeric Powder,2286,Sunny,Independence Day,3,5,0,Medium,5,Sangli,2480
2023-02-12,Red Chilli Powder,1297,Cloudy,Regional Festival,2,20,0,Medium,3,Kochi,1680
2023-02-12,Cumin Seeds,1558,Windy,Independence Day,3,0,15,Low,4,Bhopal,1655
2023-02-12,Coriander Powder,1983,Rainy,Republic Day,3,5,0,High,4,Ludhiana,2204
2023-02-12,Garam Masala,2603,Windy,Onam,2,0,5,High,3,Jaipur,2627
2023-02-12,Toor Dal,2699,Windy,Regional Festival,2,5,0,Medium,5,Vijayawada,2931
2023-02-12,Chana Dal,1630,Sunny,Baisakhi,2,0,10,Medium,3,Tirupati,1728
2023-02-12,Urad Dal,1649,Cloudy,Onam,2,20,10,High,5,Sangli,1876
2023-02-12,Moong Dal,2577,Sunny,Sunday,1,10,20,Medium,5,Ludhiana,2644
2023-02-12,Jaggery,2603,Sunny,Guru Nanak Jayanti,3,10,15,Medium,5,Hyderabad,2779
2023-02-12,Ghee,2699,Windy,Regional Festival,2,20,15,Low,3,Jaipur,2954
2023-02-12,Paneer,1560,Windy,None,0,10,0,High,3,Jalandhar,1619
2023-02-12,Coconut Oil,2735,Windy,Diwali,3,15,10,Low,4,Aurangabad,2934
2023-02-12,Mustard Oil,2861,Cloudy,Eid-ul-Adha,3,20,5,High,4,Bangalore,3215
2023-02-12,Aam Papad,2821,Cloudy,Christmas,3,0,10,Medium,5,Kochi,2936
2023-02-12,Mango Pickle,2500,Cloudy,Eid-ul-Adha,3,5,15,Low,3,Indore,2555
2023-02-12,Papad,2423,Sunny,Onam,2,5,0,High,3,Meerut,2612
2023-02-12,Idli Rice,2540,Windy,Raksha Bandhan,2,20,15,High,4,Indore,2768
2023-02-12,Sambar Powder,2523,Sunny,Durga Puja,3,5,0,Low,4,Kochi,2764
2023-02-12,Aloo Bhujia,1769,Sunny,Makar Sankranti,2,20,5,Low,3,Bhopal,2136
2023-02-12,Kaju Katli,1261,Rainy,Durga Puja,3,5,15,Medium,5,Karnal,1448
2023-02-12,Besan,1041,Rainy,Diwali,3,15,5,High,3,Karnal,1381
2023-02-12,Aata (Wheat Flour),1072,Sunny,Raksha Bandhan,2,5,10,High,4,Tirupati,1214
2023-02-12,Mango Juice,2791,Cloudy,Sunday,1,10,5,Medium,4,Bangalore,2825
2023-02-12,Lemon Pickle,1237,Sunny,None,0,15,0,Medium,4,Aurangabad,1411
2023-02-12,Coconut Chutney,1481,Rainy,Raksha Bandhan,2,0,0,Low,3,Vizag ,1616
2023-02-12,Rasgulla,1845,Windy,Baisakhi,2,15,20,Low,5,Aurangabad,1914
2023-02-12,Gulab Jamun Mix,2083,Sunny,Christmas,3,20,10,Medium,4,Tirupati,2433
2023-02-12,Lassi,1344,Rainy,Holi,3,20,10,Medium,4,Vijayawada,1673
